Tytul;issn;eissn;punkty;;;;;;;;
MANAGEMENT INTERNATIONAL REVIEW;0938-8249;;25;;;;;;;;
MANAGEMENT LEARNING;1350-5076;;30;;;;;;;;
MANAGEMENT SCIENCE;0025-1909;;40;;;;;;;;
MANCHESTER SCHOOL;1463-6786;;20;;;;;;;;
MANUAL THERAPY;1356-689X;;40;;;;;;;;
MANUFACTURING ENGINEERING;0361-0853;;15;;;;;;;;
MANUSCRIPTA MATHEMATICA;0025-2611;;25;;;;;;;;
MAPAN-Journal of Metrology Society of India;0970-3950;;20;;;;;;;;
Marine and Coastal Fisheries;1942-5120;;35;;;;;;;;
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY;1023-6244;;20;;;;;;;;
MARINE AND FRESHWATER RESEARCH;1323-1650;;30;;;;;;;;
MARINE AND PETROLEUM GEOLOGY;0264-8172;;35;;;;;;;;
Marine Biodiversity;1867-1616;;30;;;;;;;;
MARINE BIOLOGY;0025-3162;;35;;;;;;;;
Marine Biology Research;1745-1000;;25;;;;;;;;
MARINE BIOTECHNOLOGY;1436-2228;;35;;;;;;;;
MARINE CHEMISTRY;0304-4203;;40;;;;;;;;
Marine Drugs;1660-3397;;40;;;;;;;;
MARINE ECOLOGY PROGRESS SERIES;0171-8630;;35;;;;;;;;
Marine Ecology-An Evolutionary Perspective;0173-9565;;30;;;;;;;;
MARINE ENVIRONMENTAL RESEARCH;0141-1136;;35;;;;;;;;
Marine Genomics;1874-7787;;20;;;;;;;;
MARINE GEODESY;0149-0419;;25;;;;;;;;
MARINE GEOLOGY;0025-3227;;40;;;;;;;;
MARINE GEOPHYSICAL RESEARCH;0025-3235;;20;;;;;;;;
MARINE GEORESOURCES & GEOTECHNOLOGY;1064-119X;;20;;;;;;;;
MARINE MAMMAL SCIENCE;0824-0469;;35;;;;;;;;
MARINE MICROPALEONTOLOGY;0377-8398;;40;;;;;;;;
MARINE POLICY;0308-597X;;45;;;;;;;;
MARINE POLLUTION BULLETIN;0025-326X;;40;;;;;;;;
Marine Resource Economics;0738-1360;;35;;;;;;;;
MARINE STRUCTURES;0951-8339;;45;;;;;;;;
MARINE TECHNOLOGY AND SNAME NEWS;0025-3316;;15;;;;;;;;
MARINE TECHNOLOGY SOCIETY JOURNAL;0025-3324;;20;;;;;;;;
Maritime Economics & Logistics;1479-2931;;20;;;;;;;;
Maritime Policy & Management;0308-8839;;25;;;;;;;;
MARKETING LETTERS;0923-0645;;20;;;;;;;;
MARKETING SCIENCE;0732-2399;;35;;;;;;;;
Marketing Theory;1470-5931;;35;;;;;;;;
Markov Processes and Related Fields;1024-2953;;15;;;;;;;;
Mass Communication and Society;1520-5436;;30;;;;;;;;
MASS SPECTROMETRY REVIEWS;0277-7037;;45;;;;;;;;
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN
COMPUTER CHEMISTRY;0340-6253;;35;;;;;;;;
MATERIALE PLASTICE;0025-5289;;15;;;;;;;;
MATERIALES DE CONSTRUCCION;0465-2746;;25;;;;;;;;
Materiali in Tehnologije;1580-2949;;15;;;;;;;;
Materials;1996-1944;;35;;;;;;;;
MATERIALS & DESIGN;0261-3069;;35;;;;;;;;
MATERIALS AND CORROSION-WERKSTOFFE UND
KORROSION;0947-5117;;30;;;;;;;;
MATERIALS AND MANUFACTURING PROCESSES;1042-6914;;25;;;;;;;;
MATERIALS AND STRUCTURES;1359-5997;;35;;;;;;;;
MATERIALS AT HIGH TEMPERATURES;0960-3409;;25;;;;;;;;
MATERIALS CHARACTERIZATION;1044-5803;;45;;;;;;;;
MATERIALS CHEMISTRY AND PHYSICS;0254-0584;;35;;;;;;;;
MATERIALS EVALUATION;0025-5327;;15;;;;;;;;
Materials Express;2158-5849;;30;;;;;;;;
Materials Horizons;2051-6347;;45;;;;;;;;
MATERIALS LETTERS;0167-577X;;35;;;;;;;;
MATERIALS PERFORMANCE;0094-1492;;15;;;;;;;;
MATERIALS RESEARCH BULLETIN;0025-5408;;35;;;;;;;;
Materials Research Express;2053-1591;;20;;;;;;;;
MATERIALS RESEARCH INNOVATIONS;1432-8917;;15;;;;;;;;
Materials Research-Ibero-american Journal of Materials;1516-1439;;20;;;;;;;;
MATERIALS SCIENCE;1068-820X;;15;;;;;;;;
Materials Science & Engineering C-Materials for Biological
Applications;0928-4931;;30;;;;;;;;
MATERIALS SCIENCE & ENGINEERING R-REPORTS;0927-796X;;50;;;;;;;;
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND
PROCESSING;0921-5093;;35;;;;;;;;
Materials Science and Engineering B-Advanced Functional
Solid-State Materials;0921-5107;;30;;;;;;;;
MATERIALS SCIENCE AND TECHNOLOGY;0267-0836;;25;;;;;;;;
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING;1369-8001;;30;;;;;;;;
Materials Science-Medziagotyra;1392-1320;;15;;;;;;;;
MATERIALS SCIENCE-POLAND;2083-134X;;15;;;;;;;;
MATERIALS TECHNOLOGY;1066-7857;;20;;;;;;;;
Materials Testing;0025-5300;;15;;;;;;;;
Materials Today;1369-7021;;45;;;;;;;;
MATERIALS TRANSACTIONS;1345-9678;;25;;;;;;;;
MATERIALS WORLD;0967-8638;;15;;;;;;;;
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK;0933-5137;;15;;;;;;;;
Materia-Rio de Janeiro;1517-7076;;15;;;;;;;;
MATERNAL AND CHILD HEALTH JOURNAL;1092-7875;;30;;;;;;;;
Maternal and Child Nutrition;1740-8695;;35;;;;;;;;
MATHEMATICA SCANDINAVICA;0025-5521;;20;;;;;;;;
Mathematica Slovaca;0139-9918;;20;;;;;;;;
MATHEMATICAL AND COMPUTER MODELLING;0895-7177;;35;;;;;;;;
MATHEMATICAL AND COMPUTER MODELLING OF
DYNAMICAL SYSTEMS;1387-3954;;20;;;;;;;;
MATHEMATICAL BIOSCIENCES;0025-5564;;25;;;;;;;;
Mathematical Biosciences and Engineering;1547-1063;;20;;;;;;;;
Mathematical Communications;1331-0623;;20;;;;;;;;
Mathematical Control and Related Fields;2156-8472;;35;;;;;;;;
MATHEMATICAL FINANCE;0960-1627;;35;;;;;;;;
Mathematical Geosciences;1874-8961;;30;;;;;;;;
MATHEMATICAL INEQUALITIES & APPLICATIONS;1331-4343;;25;;;;;;;;
MATHEMATICAL INTELLIGENCER;0343-6993;;20;;;;;;;;
MATHEMATICAL LOGIC QUARTERLY;0942-5616;;20;;;;;;;;
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF
THE IMA;1477-8599;;30;;;;;;;;
MATHEMATICAL METHODS IN THE APPLIED SCIENCES;0170-4214;;25;;;;;;;;
MATHEMATICAL METHODS OF OPERATIONS RESEARCH;1432-2994;;25;;;;;;;;
Mathematical Modelling and Analysis;1392-6292;;25;;;;;;;;
Mathematical Modelling of Natural Phenomena;0973-5348;;20;;;;;;;;
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES;0218-2025;;45;;;;;;;;
MATHEMATICAL NOTES;0001-4346;;15;;;;;;;;
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY;1385-0172;;25;;;;;;;;
Mathematical Population Studies;0889-8480;;20;;;;;;;;
MATHEMATICAL PROBLEMS IN ENGINEERING;1024-123X;;30;;;;;;;;
MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE
PHILOSOPHICAL SOCIETY;0305-0041;;35;;;;;;;;
MATHEMATICAL PROGRAMMING;0025-5610;;40;;;;;;;;
Mathematical Reports;1582-3067;;15;;;;;;;;
MATHEMATICAL RESEARCH LETTERS;1073-2780;;30;;;;;;;;
MATHEMATICAL SOCIAL SCIENCES;0165-4896;;15;;;;;;;;
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE;0960-1295;;20;;;;;;;;
Mathematical Thinking and Learning;1098-6065;;30;;;;;;;;
MATHEMATICS AND COMPUTERS IN SIMULATION;0378-4754;;25;;;;;;;;
Mathematics and Financial Economics;1862-9679;;15;;;;;;;;
MATHEMATICS AND MECHANICS OF SOLIDS;1081-2865;;25;;;;;;;;
MATHEMATICS OF COMPUTATION;0025-5718;;35;;;;;;;;
MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS;0932-4194;;20;;;;;;;;
MATHEMATICS OF OPERATIONS RESEARCH;0364-765X;;35;;;;;;;;
MATHEMATIKA;0025-5793;;25;;;;;;;;
MATHEMATISCHE ANNALEN;0025-5831;;40;;;;;;;;
MATHEMATISCHE NACHRICHTEN;0025-584X;;30;;;;;;;;
MATHEMATISCHE ZEITSCHRIFT;0025-5874;;35;;;;;;;;
MATRIX BIOLOGY;0945-053X;;35;;;;;;;;
MATURITAS;0378-5122;;35;;;;;;;;
Mausam;0252-9416;;15;;;;;;;;
MAYDICA;0025-6153;;20;;;;;;;;
MAYO CLINIC PROCEEDINGS;0025-6196;;45;;;;;;;;
mBio;2150-7511;;40;;;;;;;;
MCN-The American Journal of Maternal-Child Nursing;0361-929X;;25;;;;;;;;
MEASUREMENT;0263-2241;;30;;;;;;;;
MEASUREMENT & CONTROL;0020-2940;;15;;;;;;;;
MEASUREMENT AND EVALUATION IN COUNSELING AND
DEVELOPMENT;0748-1756;;20;;;;;;;;
MEASUREMENT SCIENCE and TECHNOLOGY;0957-0233;;35;;;;;;;;
Measurement Science Review;1335-8871;;25;;;;;;;;
MEASUREMENT TECHNIQUES;0543-1972;;15;;;;;;;;
MEAT SCIENCE;0309-1740;;40;;;;;;;;
MECCANICA;0025-6455;;30;;;;;;;;
MECHANICAL ENGINEERING;0025-6501;;15;;;;;;;;
Mechanical Sciences;2191-9151;;20;;;;;;;;
MECHANICAL SYSTEMS AND SIGNAL PROCESSING;0888-3270;;45;;;;;;;;
Mechanics & Industry;2257-7777;;15;;;;;;;;
MECHANICS BASED DESIGN OF STRUCTURES AND
MACHINES;1539-7734;;20;;;;;;;;
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES;1537-6494;;25;;;;;;;;
MECHANICS OF COMPOSITE MATERIALS;0191-5665;;20;;;;;;;;
MECHANICS OF MATERIALS;0167-6636;;40;;;;;;;;
Mechanics of Solids;0025-6544;;15;;;;;;;;
MECHANICS OF TIME-DEPENDENT MATERIALS;1385-2000;;30;;;;;;;;
MECHANICS RESEARCH COMMUNICATIONS;0093-6413;;30;;;;;;;;
Mechanika;1392-1207;;15;;;;;;;;
MECHANISM AND MACHINE THEORY;0094-114X;;35;;;;;;;;
MECHANISMS OF AGEING AND DEVELOPMENT;0047-6374;;35;;;;;;;;
MECHANISMS OF DEVELOPMENT;0925-4773;;25;;;;;;;;
MECHATRONICS;0957-4158;;30;;;;;;;;
MedChemComm;2040-2503;;30;;;;;;;;
Medecine et Chirurgie du Pied;0759-2280;;15;;;;;;;;
MEDECINE ET MALADIES INFECTIEUSES;0399-077X;;15;;;;;;;;
Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique;0928-1258;;15;;;;;;;;
MEDIA CULTURE & SOCIETY;0163-4437;;30;;;;;;;;
Media International Australia;1329-878X;;15;;;;;;;;
MEDIA PSYCHOLOGY;1521-3269;;35;;;;;;;;
MEDIATORS OF INFLAMMATION;0962-9351;;30;;;;;;;;
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;0140-0118;;30;;;;;;;;
MEDICAL AND VETERINARY ENTOMOLOGY;0269-283X;;45;;;;;;;;
Medical Anthropology;0145-9740;;35;;;;;;;;
MEDICAL ANTHROPOLOGY QUARTERLY;0745-5194;;30;;;;;;;;
MEDICAL CARE;0025-7079;;40;;;;;;;;
MEDICAL CARE RESEARCH AND REVIEW;1077-5587;;45;;;;;;;;
MEDICAL CLINICS OF NORTH AMERICA;0025-7125;;35;;;;;;;;
MEDICAL DECISION MAKING;0272-989X;;40;;;;;;;;
Medical Dosimetry;0958-3947;;15;;;;;;;;
MEDICAL EDUCATION;0308-0110;;50;;;;;;;;
Medical Education Online;1087-2981;;30;;;;;;;;
MEDICAL ENGINEERING & PHYSICS;1350-4533;;30;;;;;;;;
MEDICAL HISTORY;0025-7273;;25;;;;;;;;
MEDICAL HYPOTHESES;0306-9877;;15;;;;;;;;
MEDICAL IMAGE ANALYSIS;1361-8415;;45;;;;;;;;
MEDICAL JOURNAL OF AUSTRALIA;0025-729X;;40;;;;;;;;
Medical Law Review;0967-0742;;25;;;;;;;;
MEDICAL LETTER ON DRUGS AND THERAPEUTICS;0025-732X;;15;;;;;;;;
MEDICAL MICROBIOLOGY AND IMMUNOLOGY;0300-8584;;30;;;;;;;;
Medical Molecular Morphology;1860-1480;;20;;;;;;;;
MEDICAL MYCOLOGY;1369-3786;;35;;;;;;;;
MEDICAL ONCOLOGY;1357-0560;;20;;;;;;;;
MEDICAL PHYSICS;0094-2405;;35;;;;;;;;
MEDICAL PRINCIPLES AND PRACTICE;1011-7571;;25;;;;;;;;
MEDICAL PROBLEMS OF PERFORMING ARTISTS;0885-1158;;25;;;;;;;;
MEDICAL SCIENCE MONITOR;1643-3750;;20;;;;;;;;
MEDICAL TEACHER;0142-159X;;35;;;;;;;;
Medical Ultrasonography;1844-4172;;15;;;;;;;;
MEDICC Review;1555-7960;;20;;;;;;;;
MEDICINA CLINICA;0025-7753;;25;;;;;;;;
Medicina del Lavoro;0025-7818;;15;;;;;;;;
MEDICINA DELLO SPORT;0025-7826;;15;;;;;;;;
Medicina Intensiva;0210-5691;;15;;;;;;;;
Medicina Oral Patologia Oral y Cirugia Bucal;1698-6946;;20;;;;;;;;
Medicina Paliativa;1134-248X;;15;;;;;;;;
Medicina Veterinaria-Recife;1809-4678;;15;;;;;;;;
MEDICINA-BUENOS AIRES;0025-7680;;15;;;;;;;;
Medicinal Chemistry;1573-4064;;20;;;;;;;;
MEDICINAL CHEMISTRY RESEARCH;1054-2523;;20;;;;;;;;
MEDICINAL RESEARCH REVIEWS;0198-6325;;50;;;;;;;;
Medicina-Lithuania;1010-660X;;20;;;;;;;;
MEDICINE;0025-7974;;40;;;;;;;;
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;0195-9131;;50;;;;;;;;
Medicine Health Care and Philosophy;1386-7423;;35;;;;;;;;
MEDICINE SCIENCE AND THE LAW;0025-8024;;20;;;;;;;;
Medicinski Glasnik;1840-0132;;15;;;;;;;;
Mediterranean Historical Review;0951-8967;;25;;;;;;;;
Mediterranean Journal of Mathematics;1660-5446;;25;;;;;;;;
MEDITERRANEAN MARINE SCIENCE;1108-393X;;30;;;;;;;;
Mediterranean Politics;1362-9395;;35;;;;;;;;
Medizinische Genetik;1863-5490;;15;;;;;;;;
MEDIZINISCHE KLINIK;0723-5003;;15;;;;;;;;
Medizinische Klinik-Intensivmedizin und Notfallmedizin;2193-6218;;15;;;;;;;;
MEDYCYNA PRACY;0465-5893;;15;;;;;;;;
Medycyna Weterynaryjna-Veterinary Medicine-Science and
Practice;0025-8628;;15;;;;;;;;
MELANOMA RESEARCH;0960-8931;;25;;;;;;;;
Melbourne University Law Review;0025-8938;;20;;;;;;;;
Membrane Water Treatment;2005-8624;;15;;;;;;;;
Memetic Computing;1865-9284;;20;;;;;;;;
MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY;0065-9266;;45;;;;;;;;
MEMORIAS DO INSTITUTO OSWALDO CRUZ;0074-0276;;30;;;;;;;;
MEMORY;0965-8211;;30;;;;;;;;
MEMORY & COGNITION;0090-502X;;25;;;;;;;;
Memory Studies;1750-6980;;50;;;;;;;;
Men and Masculinities;1097-184X;;30;;;;;;;;
MENDELEEV COMMUNICATIONS;0959-9436;;20;;;;;;;;
Menopause Review;1643-8876;2299-0038;15;;;;;;;;
MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN
MENOPAUSE SOCIETY;1072-3714;;40;;;;;;;;
Mental Health and Physical Activity;1755-2966;;20;;;;;;;;
MERRILL-PALMER QUARTERLY-JOURNAL OF
DEVELOPMENTAL PSYCHOLOGY;0272-930X;;25;;;;;;;;
METABOLIC BRAIN DISEASE;0885-7490;;25;;;;;;;;
METABOLIC ENGINEERING;1096-7176;;45;;;;;;;;
Metabolic Syndrome and Related Disorders;1540-4196;;20;;;;;;;;
METABOLISM-CLINICAL AND EXPERIMENTAL;0026-0495;;30;;;;;;;;
Metabolomics;1573-3882;;35;;;;;;;;
Metacognition and Learning;1556-1623;;40;;;;;;;;
METAL SCIENCE AND HEAT TREATMENT;0026-0673;;15;;;;;;;;
METALLOFIZIKA I NOVEISHIE TEKHNOLOGII;1024-1809;;15;;;;;;;;
Metallomics;1756-5901;;35;;;;;;;;
METALLURGIA ITALIANA;0026-0843;;15;;;;;;;;
METALLURGICAL AND MATERIALS TRANSACTIONS A-
PHYSICAL METALLURGY AND MATERIALS SCIENCE;1073-5623;;35;;;;;;;;
METALLURGICAL AND MATERIALS TRANSACTIONS B- PROCESS METALLURGY AND MATERIALS PROCESSING
SCIENCE;1073-5615;;30;;;;;;;;
Metallurgical Research & Technology;2271-3646;;20;;;;;;;;
METALLURGIST;0026-0894;;15;;;;;;;;
Metals;2075-4701;;30;;;;;;;;
METALS AND MATERIALS INTERNATIONAL;1598-9623;;30;;;;;;;;
Metalurgia International;1582-2214;;15;;;;;;;;
METALURGIJA;0543-5846;;25;;;;;;;;
METAPHOR AND SYMBOL;1092-6488;;30;;;;;;;;
METEORITICS & PLANETARY SCIENCE;1086-9379;;30;;;;;;;;
METEOROLOGICAL APPLICATIONS;1350-4827;;25;;;;;;;;
METEOROLOGISCHE ZEITSCHRIFT;0941-2948;;25;;;;;;;;
METEOROLOGY AND ATMOSPHERIC PHYSICS;0177-7971;;20;;;;;;;;
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY;1387-5841;;20;;;;;;;;
Methodology-European Journal of Research Methods for
the Behavioral and Social Sciences;1614-1881;;30;;;;;;;;
METHODS;1046-2023;;35;;;;;;;;
Methods and Applications in Fluorescence;2050-6120;;25;;;;;;;;
METHODS AND FINDINGS IN EXPERIMENTAL AND CLINICAL
PHARMACOLOGY;0379-0355;;15;;;;;;;;
Methods in Cell Biology;0091-679X;;15;;;;;;;;
Methods in Ecology and Evolution;2041-210X;;45;;;;;;;;
Methods in Enzymology;0076-6879;;25;;;;;;;;
Methods in Microbiology;0580-9517;;25;;;;;;;;
METHODS OF INFORMATION IN MEDICINE;0026-1270;;25;;;;;;;;
METRIKA;0026-1335;;20;;;;;;;;
Metroeconomica;0026-1386;;20;;;;;;;;
METROLOGIA;0026-1394;;35;;;;;;;;
Metrology and Measurement Systems;0860-8229;;20;;;;;;;;
MICHIGAN LAW REVIEW;0026-2234;;45;;;;;;;;
MICHIGAN MATHEMATICAL JOURNAL;0026-2285;;30;;;;;;;;
Micro & Nano Letters;1750-0443;;20;;;;;;;;
MICROBES AND ENVIRONMENTS;1342-6311;;25;;;;;;;;
MICROBES AND INFECTION;1286-4579;;25;;;;;;;;
Microbial Biotechnology;1751-7907;;35;;;;;;;;
Microbial Cell Factories;1475-2859;;40;;;;;;;;
Microbial Drug Resistance;1076-6294;;25;;;;;;;;
MICROBIAL ECOLOGY;0095-3628;;35;;;;;;;;
MICROBIAL PATHOGENESIS;0882-4010;;20;;;;;;;;
MICROBIOLOGICAL RESEARCH;0944-5013;;25;;;;;;;;
MICROBIOLOGY;0026-2617;;15;;;;;;;;
MICROBIOLOGY AND IMMUNOLOGY;0385-5600;;15;;;;;;;;
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;1092-2172;;50;;;;;;;;
MicrobiologyOpen;2045-8827;;20;;;;;;;;
MICROBIOLOGY-SGM;1350-0872;;30;;;;;;;;
Microbiome;2049-2618;;45;;;;;;;;
MICROCHEMICAL JOURNAL;0026-265X;;35;;;;;;;;
MICROCHIMICA ACTA;0026-3672;;40;;;;;;;;
MICROCIRCULATION;1073-9688;;30;;;;;;;;
MICROELECTRONIC ENGINEERING;0167-9317;;25;;;;;;;;
MICROELECTRONICS INTERNATIONAL;1356-5362;;20;;;;;;;;
MICROELECTRONICS JOURNAL;0026-2692;;20;;;;;;;;
MICROELECTRONICS RELIABILITY;0026-2714;;20;;;;;;;;
Microfluidics and Nanofluidics;1613-4982;;40;;;;;;;;
MICROGRAVITY SCIENCE AND TECHNOLOGY;0938-0108;;25;;;;;;;;
Micromachines;2072-666X;;30;;;;;;;;
MICRON;0968-4328;;30;;;;;;;;
MICROPALEONTOLOGY;0026-2803;;15;;;;;;;;
MICROPOROUS AND MESOPOROUS MATERIALS;1387-1811;;35;;;;;;;;
MICROPROCESSORS AND MICROSYSTEMS;0141-9331;;20;;;;;;;;
Microscopy;0022-0744;;25;;;;;;;;
MICROSCOPY AND MICROANALYSIS;1431-9276;;45;;;;;;;;
MICROSCOPY RESEARCH AND TECHNIQUE;1059-910X;;25;;;;;;;;
MICROSURGERY;0738-1085;;30;;;;;;;;
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS- INFORMATION STORAGE AND PROCESSING SYSTEMS;0946-7076;;20;;;;;;;;
MICROVASCULAR RESEARCH;0026-2862;;30;;;;;;;;
MICROWAVE AND OPTICAL TECHNOLOGY LETTERS;0895-2477;;15;;;;;;;;
MICROWAVE JOURNAL;0192-6225;;15;;;;;;;;
MICROWAVES & RF;0745-2993;;15;;;;;;;;
MIDDLE EAST JOURNAL;0026-3141;;30;;;;;;;;
MIDDLE EAST POLICY;1061-1924;;25;;;;;;;;
MIDDLE EASTERN STUDIES;0026-3206;;20;;;;;;;;
MIDWIFERY;0266-6138;;40;;;;;;;;
MIKROBIYOLOJI BULTENI;0374-9096;;15;;;;;;;;
Milan Journal of Mathematics;1424-9286;;35;;;;;;;;
MILBANK QUARTERLY;0887-378X;;50;;;;;;;;
MILCHWISSENSCHAFT-MILK SCIENCE INTERNATIONAL;0026-3788;;15;;;;;;;;
MILITARY LAW REVIEW;0026-4040;;15;;;;;;;;
MILITARY MEDICINE;0026-4075;;25;;;;;;;;
MILITARY OPERATIONS RESEARCH;0275-5823;;15;;;;;;;;
MILITARY PSYCHOLOGY;0899-5605;;20;;;;;;;;
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES;0305-8298;;30;;;;;;;;
MIND & LANGUAGE;0268-1064;;40;;;;;;;;
Mind Brain and Education;1751-2271;;25;;;;;;;;
Mind Culture and Activity;1074-9039;;30;;;;;;;;
Mindfulness;1868-8527;;35;;;;;;;;
Minds and Machines;0924-6495;;25;;;;;;;;
Mine Water and the Environment;1025-9112;;25;;;;;;;;
Mineral Processing and Extractive Metallurgy Review;0882-7508;;30;;;;;;;;
MINERALIUM DEPOSITA;0026-4598;;35;;;;;;;;
MINERALOGICAL MAGAZINE;0026-461X;;30;;;;;;;;
MINERALOGY AND PETROLOGY;0930-0708;;25;;;;;;;;
Minerals;2075-163X;;25;;;;;;;;
MINERALS & METALLURGICAL PROCESSING;0747-9182;;25;;;;;;;;
MINERALS ENGINEERING;0892-6875;;35;;;;;;;;
MINERVA;0026-4695;;35;;;;;;;;
Minerva Anestesiologica;0375-9393;;25;;;;;;;;
MINERVA BIOTECNOLOGICA;1120-4826;;15;;;;;;;;
MINERVA CARDIOANGIOLOGICA;0026-4725;;15;;;;;;;;
MINERVA CHIRURGICA;0026-4733;;15;;;;;;;;
Minerva Endocrinologica;0391-1977;;15;;;;;;;;
MINERVA MEDICA;0026-4806;;20;;;;;;;;
Minerva Ortopedica E Traumatologica;0026-4911;;15;;;;;;;;
MINERVA PEDIATRICA;0026-4946;;15;;;;;;;;
Minerva Urologica E Nefrologica;0393-2249;;15;;;;;;;;
MINIMALLY INVASIVE NEUROSURGERY;0946-7211;;15;;;;;;;;
MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES;1364-5706;;20;;;;;;;;
MINI-REVIEWS IN MEDICINAL CHEMISTRY;1389-5575;;30;;;;;;;;
MINI-REVIEWS IN ORGANIC CHEMISTRY;1570-193X;;20;;;;;;;;
MINNESOTA LAW REVIEW;0026-5535;;35;;;;;;;;
Minnesota Symposia on Child Psychology;0076-9266;;15;;;;;;;;
Mires and Peat;1819-754X;;15;;;;;;;;
MIS QUARTERLY;0276-7783;;50;;;;;;;;
MIS Quarterly Executive;1540-1960;;30;;;;;;;;
Miskolc Mathematical Notes;1787-2405;;15;;;;;;;;
MIT SLOAN MANAGEMENT REVIEW;1532-9194;;35;;;;;;;;
Mitigation and Adaptation Strategies for Global Change;1381-2386;;30;;;;;;;;
Mitochondrial DNA;1940-1736;;20;;;;;;;;
MITOCHONDRION;1567-7249;;35;;;;;;;;
MITTEILUNGEN DER OSTERREICHISCHEN GEOGRAPHISCHEN
GESELLSCHAFT;0029-9138;;15;;;;;;;;
MITTEILUNGEN KLOSTERNEUBURG;0007-5922;;15;;;;;;;;
Mljekarstvo;0026-704X;;20;;;;;;;;
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT;0149-2195;;50;;;;;;;;
Mobile DNA;1759-8753;;25;;;;;;;;
Mobile Information Systems;1574-017X;;25;;;;;;;;
MOBILE NETWORKS & APPLICATIONS;1383-469X;;30;;;;;;;;
Mobilities;1745-0101;;30;;;;;;;;
Mobilization;1086-671X;;30;;;;;;;;
MODELING IDENTIFICATION AND CONTROL;0332-7353;;20;;;;;;;;
MODELLING AND SIMULATION IN MATERIALS SCIENCE AND
ENGINEERING;0965-0393;;35;;;;;;;;
MODERN ASIAN STUDIES;0026-749X;;30;;;;;;;;
MODERN CHINA;0097-7004;;40;;;;;;;;
Modern Chinese Literature and Culture;1520-9857;;15;;;;;;;;
MODERN LANGUAGE JOURNAL;0026-7902;;40;;;;;;;;
MODERN LAW REVIEW;0026-7961;;25;;;;;;;;
MODERN PATHOLOGY;0893-3952;;45;;;;;;;;
MODERN PHYSICS LETTERS A;0217-7323;;20;;;;;;;;
MODERN PHYSICS LETTERS B;0217-9849;;15;;;;;;;;
Modern Rheumatology;1439-7595;;20;;;;;;;;
MOKUZAI GAKKAISHI;0021-4795;;15;;;;;;;;
Molecular & Cellular Biomechanics;1556-5297;;15;;;;;;;;
MOLECULAR & CELLULAR PROTEOMICS;1535-9476;;45;;;;;;;;
Molecular & Cellular Toxicology;1738-642X;;15;;;;;;;;
MOLECULAR AND BIOCHEMICAL PARASITOLOGY;0166-6851;;30;;;;;;;;
MOLECULAR AND CELLULAR BIOCHEMISTRY;0300-8177;;20;;;;;;;;
MOLECULAR AND CELLULAR BIOLOGY;0270-7306;;35;;;;;;;;
MOLECULAR AND CELLULAR ENDOCRINOLOGY;0303-7207;;35;;;;;;;;
MOLECULAR AND CELLULAR NEUROSCIENCE;1044-7431;;30;;;;;;;;
MOLECULAR AND CELLULAR PROBES;0890-8508;;20;;;;;;;;
MOLECULAR ASPECTS OF MEDICINE;0098-2997;;45;;;;;;;;
Molecular Autism;2040-2392;;40;;;;;;;;
MOLECULAR BIOLOGY;0026-8933;;15;;;;;;;;
MOLECULAR BIOLOGY AND EVOLUTION;0737-4038;;45;;;;;;;;
MOLECULAR BIOLOGY OF THE CELL;1059-1524;;35;;;;;;;;
MOLECULAR BIOLOGY REPORTS;0301-4851;;20;;;;;;;;
Molecular BioSystems;1742-206X;;30;;;;;;;;
MOLECULAR BIOTECHNOLOGY;1073-6085;;25;;;;;;;;
Molecular Brain;1756-6606;;35;;;;;;;;
MOLECULAR BREEDING;1380-3743;;40;;;;;;;;
Molecular Cancer;1476-4598;;40;;;;;;;;
MOLECULAR CANCER RESEARCH;1541-7786;;35;;;;;;;;
MOLECULAR CANCER THERAPEUTICS;1535-7163;;40;;;;;;;;
MOLECULAR CARCINOGENESIS;0899-1987;;35;;;;;;;;
MOLECULAR CELL;1097-2765;;50;;;;;;;;
MOLECULAR CRYSTALS AND LIQUID CRYSTALS;1542-1406;;15;;;;;;;;
